"Ltot","cost"
100.,577633.0327981929
125.89254117941661,656698.9261787906
158.48931924611142,767865.6505434304
199.5262314968879,927584.8820810402
251.1886431509582,1.1894920944278638e6
316.2277660168379,1.6745424287829625e6
398.1071705534969,2.7109392013292043e6
501.18723362727246,5.973038517605692e6
630.957344480193,2.042406170284569e7
794.3282347242822,1.670113088007861e8
1000.,6.65192500850117e9
1258.9254117941662,nan
1584.8931924611143,nan
1995.2623149688789,nan
2511.8864315095825,nan
3162.2776601683795,nan
3981.0717055349696,nan
5011.872336272725,nan
6309.57344480193,nan
7943.282347242822,nan
10000.,nan
