"Ltot","mII/mI"
100.,0.2
125.89254117941661,0.14285714285714285
158.48931924611142,0.16666666666666666
199.5262314968879,0.2
251.1886431509582,0.2
316.2277660168379,0.2
398.1071705534969,0.2
501.18723362727246,0.2
630.957344480193,0.25
794.3282347242822,0.25
1000.,0.25
1258.9254117941662,0.25
1584.8931924611143,0.25
1995.2623149688789,0.25
2511.8864315095825,0.25
3162.2776601683795,0.2
3981.0717055349696,0.25
5011.872336272725,0.25
6309.57344480193,0.2497878359264498
7943.282347242822,0.2
10000.,0.14271736091696952
