"Ltot","cost"
100.,488654.0505522381
125.89254117941661,583472.3676596341
158.48931924611142,734475.7738311455
199.5262314968879,1.0074177657280545e6
251.1886431509582,1.6202842878953977e6
316.2277660168379,3.6277186931090937e6
398.1071705534969,1.663316510932304e7
501.18723362727246,3.4836814323868203e8
630.957344480193,nan
794.3282347242822,nan
1000.,nan
1258.9254117941662,nan
1584.8931924611143,nan
1995.2623149688789,nan
2511.8864315095825,nan
3162.2776601683795,nan
3981.0717055349696,nan
5011.872336272725,nan
6309.57344480193,nan
7943.282347242822,nan
10000.,nan
