"Ltot","cost"
100.,618975.2786161174
125.89254117941661,697774.8487945506
158.48931924611142,793125.0553106018
199.5262314968879,901666.5656349851
251.1886431509582,1.0276998598833486e6
316.2277660168379,1.1969567402645985e6
398.1071705534969,1.4312414061612964e6
501.18723362727246,1.7740623815521463e6
630.957344480193,2.312164168369357e6
794.3282347242822,3.2393363915204233e6
1000.,5.091292321582253e6
1258.9254117941662,9.526488863551449e6
1584.8931924611143,2.548152164924027e7
1995.2623149688789,1.3740409100548178e8
2511.8864315095825,4.867648806057682e9
3162.2776601683795,nan
3981.0717055349696,nan
5011.872336272725,nan
6309.57344480193,nan
7943.282347242822,nan
10000.,nan
