"Ltot","cost"
100.,529931.623364688
125.89254117941661,575054.8299416763
158.48931924611142,619051.4813223731
199.5262314968879,674507.8991374816
251.1886431509582,737885.3359310239
316.2277660168379,813397.0335160075
398.1071705534969,904185.7236310939
501.18723362727246,1.0143492182595681e6
630.957344480193,1.149922743161876e6
794.3282347242822,1.320617854725482e6
1000.,1.5187997723890122e6
1258.9254117941662,1.787247554550147e6
1584.8931924611143,2.1659233421967058e6
1995.2623149688789,2.726618491849196e6
2511.8864315095825,3.6782571176311104e6
3162.2776601683795,5.535320330093518e6
3981.0717055349696,1.061004574666869e7
5011.872336272725,3.9079921198708095e7
6309.57344480193,9.584490549510477e8
7943.282347242822,nan
10000.,nan
