"Ltot","cost"
100.,808572.8305673251
125.89254117941661,806215.7803373269
158.48931924611142,807789.0045129204
199.5262314968879,816976.5626889665
251.1886431509582,819396.8888237594
316.2277660168379,827397.9280748396
398.1071705534969,831301.2457456583
501.18723362727246,836696.0215101701
630.957344480193,845514.6272382694
794.3282347242822,854515.5013858208
1000.,862602.9532811492
1258.9254117941662,870710.8344352967
1584.8931924611143,889999.0342790039
1995.2623149688789,907859.7707450227
2511.8864315095825,927846.9868456679
3162.2776601683795,938425.2851813727
3981.0717055349696,975191.212148204
5011.872336272725,1.0082651220296529e6
6309.57344480193,1.0522969020696455e6
7943.282347242822,1.114498219855888e6
10000.,1.22197163293316e6
