"Ltot","SKR"
100.,18948.864930089272
125.89254117941661,18867.105426060825
158.48931924611142,18537.5103584546
199.5262314968879,18526.541030866352
251.1886431509582,18340.43063110376
316.2277660168379,17801.39754341736
398.1071705534969,17710.11031659344
501.18723362727246,17282.032080995567
630.957344480193,16743.65129359139
794.3282347242822,16111.174735739625
1000.,15496.354508046816
1258.9254117941662,14766.05705794362
1584.8931924611143,13854.40354253787
1995.2623149688789,12838.224433949566
2511.8864315095825,12398.382535885827
3162.2776601683795,11900.115409695445
3981.0717055349696,10610.293754188138
5011.872336272725,8945.6851979647
6309.57344480193,6554.297545715671
7943.282347242822,4655.4388252828
10000.,1515.037438624277
