"Ltot","cost"
100.,291466.12980409025
125.89254117941661,306276.2989238129
158.48931924611142,322564.9686875643
199.5262314968879,341830.1584732517
251.1886431509582,364048.87061724777
316.2277660168379,390055.2030728691
398.1071705534969,420953.4740913765
501.18723362727246,458467.9327005031
630.957344480193,505072.61649500515
794.3282347242822,564726.9840746871
1000.,644004.072491502
1258.9254117941662,754611.4883860558
1584.8931924611143,913966.3346543086
1995.2623149688789,1.1506915655962944e6
2511.8864315095825,1.4933784650625587e6
3162.2776601683795,2.158593629108155e6
3981.0717055349696,4.0007756410033326e6
5011.872336272725,1.4431312187065208e7
6309.57344480193,3.815060318290914e8
7943.282347242822,nan
10000.,nan
